formula,database,db_id,T,rho,seebeck_sqr,kappa,zT
C12H9BrI2N2Zn,COD,2219152,1000,0.00222826,0.0750963,3.17179,0.0328833
Ru2Si2Sm,ICSD,650634,1000,3.28554e-05,0.350559,2.23871,0.139733
KO6Os2,COD,1529026,700,4.0771e-05,0.0368589,2.19764,0.155156
C12H18CuN4O5,COD,2217128,400,0.00178405,2.07631,4.06337,0.000528028
Ba2MgO6Re,ICSD,98524,700,7.22007e-05,0.0472033,2.66261,0.0801053
C10H15Zn,COD,4108985,1000,0.00113444,0.449445,3.31411,0.0946862
Ba3O4P2Se4,ICSD,414638,300,9.56279e-05,7.20155e-08,2.28896,0.0135367
F6Li2V,ICSD,290251,300,0.000637783,0.0112151,5.18572,0.00194145
C32H48CdCl2N8O4,COD,2222801,700,0.000876916,1.24979,3.53025,0.00849657
C8H18O4Ti,COD,7052506,400,0.00107834,1.45531,4.03135,0.000338753
AgAlTe2,COD,1509169,400,0.000139148,3043.69,1.22553,0.0919941
C4HF6,COD,4322527,300,0.00376237,0.0427287,3.94132,0.000137789
C23H26O2,COD,1504807,400,0.00293446,0.0449511,4.4454,0.000263922
C41H39Cl4O2,COD,7150675,300,0.00198448,0.00726723,4.70054,0.000332018
Ba2CoF6,ICSD,21057,400,0.000252993,5.28361e-06,2.91116,0.00438124
Fe17Yb2,ICSD,632767,300,4.06548e-05,2.68256e-06,4.84035,0.0135657
O4SeV,ICSD,68333,300,0.000201866,2.82654e-05,3.54718,0.00378292
La2PbZn5,COD,4335666,300,3.71742e-05,3188.75,1.37259,0.0238848
Ga29In12Na17,COD,7221336,400,9.97023e-05,4.8622,1.16649,0.0257032
OsTaTe4,ICSD,656454,400,9.9788e-06,406.547,2.80505,0.11673
SSeU,ICSD,78584,300,7.78749e-05,0.0496383,1.95706,0.00362481
C13H18NOS,COD,4020358,700,0.00120988,1.43921,3.62157,0.0094989
BaN2O2Si2,ICSD,173758,300,0.0211689,1.68776,2.46708,0.00265006
Mn4Sb18Sr21,COD,4116220,300,0.000468967,3.80902e-05,1.55837,0.00272777
H8Mg5O9,COD,1531175,1000,0.000505364,0.00745388,3.00823,0.0574303
Os2Si2Th,ICSD,603982,300,1.36475e-05,1.6357,2.24851,0.0297036
C17H18O8,COD,4027532,300,0.00302943,0.896023,4.86468,0.000318612
C10H16ClNO3,COD,2213932,400,0.00203057,0.319785,4.12712,0.000379037
As7Cu9Mn3Pr2,ICSD,425306,700,3.50751e-05,97.6655,0.978394,0.417453
C120H72F6P,COD,2101244,700,0.000578013,0.00499715,3.38518,0.00751494
HgSe,ICSD,56210,1000,7.44119e-05,0.00471169,0.777492,0.785768
Mg2NdNi9,ICSD,55617,700,5.2842e-05,2.14582e-06,3.97297,0.139547
LuNi5,COD,1522222,1000,2.93392e-05,3.76294e-08,3.65889,0.251414
C8H7O2RbS,COD,4321765,700,0.0122862,0.0321601,3.74109,0.0377091
C34H54CsO8P,COD,4061143,1000,0.000591032,2.58203,2.89075,0.0359272
C14H14I2N2Zn,COD,2219356,700,0.00161664,3.3248,3.15471,0.0155573
C9H12AgN6O3,COD,2009514,700,0.00171775,3.87776,3.7664,0.0208938
LuO4P,COD,1529051,400,0.000330067,4.46052e-06,2.37392,0.00311703
BaSi2,COD,1526653,400,0.000237891,261.955,2.25579,0.0481984
C70H64O11,COD,2003446,1000,0.0014668,0.0466659,3.40768,0.00872363
CO2Rb,COD,4313232,300,6.28268e-05,2.6457,5.3358,0.00449416
Ge3Ho5,ICSD,636626,1000,3.44951e-05,0.00189645,1.29847,0.520657
Co5Pr,ICSD,624710,1000,4.48639e-05,3.55057e-07,4.2873,0.161908
K2O12P3Ti2,COD,1001396,300,0.000322764,0.0248404,4.29765,0.00120904
C11H4ClO,COD,2017778,700,0.00113059,0.00678973,3.30765,0.00798316
Se4Y2Yb,ICSD,652186,700,2.85816e-05,1168.36,1.75228,0.363122
BaHo2O5Pd,COD,2002806,300,0.000171897,0.198802,5.27238,0.015595
Al8CeCu4,ICSD,606423,300,7.04699e-05,3.76374,3.93902,0.0105663
C4H10ClNO,COD,2001693,1000,0.00126255,1.87608,3.14562,0.0386861
C15H22O3,COD,2217325,400,0.00299876,0.0753141,4.30241,0.000257835
C14H13N5O6,COD,2212010,400,0.00236402,0.0642337,4.17254,0.00041967
C26H34O2Sn,COD,2001704,700,0.00169655,2.24323,3.53335,0.00990187
C12H20O7,COD,2006282,700,0.00205259,0.586389,3.7516,0.00282481
Au2BiHo5,ICSD,156958,300,3.69716e-05,0.000424672,1.4017,0.00924546
IOTm,COD,2310429,1000,8.73628e-05,0.000371405,1.83959,0.235606
F3Na7O12S3Sn,ICSD,250242,400,0.00042431,0.000211191,3.10975,0.0185172
C13H9FNO2,COD,2209623,300,0.00166158,0.0418625,4.71516,0.000284394
C23H18N4OS,COD,2213929,1000,0.00101319,0.0087449,3.41878,0.0248741
CeP2Rh2,ICSD,40764,700,5.155e-05,0.0555613,2.16679,0.153295
Fe17Nd2,COD,1527614,700,5.78193e-05,0.0139696,4.70015,0.103466
Cl4O16Ti,ICSD,59176,1000,0.000104268,0.675549,2.77169,0.102841
C5H10NO,COD,2103904,1000,0.00128408,0.264209,3.2124,0.0104375
C24H30Ru,COD,2201337,400,0.0027729,0.450145,4.23745,0.00838231
LiO2Tl,ICSD,33633,300,0.000197642,0.0149309,3.30847,0.00775679
AlH4Li,ICSD,22247,400,0.0033935,0.0025807,3.65763,0.00225549
MgO13Te6,COD,2237539,1000,8.78855e-05,5.2483e-06,2.38172,0.222472
C6H11AuBrNS,COD,2014127,300,0.00212898,1.40527,3.32405,0.00151994
Cl3NbO,ICSD,26471,1000,0.0641816,90.1235,2.1543,0.0794584
CaIrSn2,ICSD,410773,400,5.43296e-05,491.152,1.84597,0.176579
CuH16O20P2U2,ICSD,97286,300,0.0013897,0.215693,3.79321,0.000128684
C5H7Br,COD,7027193,700,0.00152103,1.36431,3.54477,0.0198481
Al2O12Si3Sr3,ICSD,27385,700,3.98451e-05,6.87797e-06,2.58937,0.0852925
C39H49CoN3O2,COD,4000317,700,0.00132104,0.022021,3.83979,0.00383795
C37H27N,COD,4027624,300,0.00227843,0.0123172,4.7099,0.000273484
Li7P3S11,ICSD,157654,1000,0.000103829,1.36786,2.45316,0.213295
C61H102O4,COD,4502852,300,0.00354325,0.0716736,5.36534,0.000227415
C38H28CoN2O9,COD,2017507,300,0.00214987,0.00397098,4.64161,0.000296119
Ba2HfS4,ICSD,80652,300,0.000148036,244.573,2.04092,0.00682348
C9H11N3O,COD,2219591,700,0.00151018,1.27833,3.82302,0.00450253
C17H13ClN4O,COD,2224268,1000,0.000987384,0.00560489,3.38282,0.0401245
C20H19ClOSe,COD,4021823,300,0.00273291,0.00956275,4.56819,0.000322388
AlO3Yb,ICSD,168212,300,0.000132707,4.75882e-08,11.6805,0.0102313
CdCu2Se4Si,ICSD,619783,700,7.68418e-05,0.491828,0.914574,0.833313
GdS2,COD,4343635,700,0.000108694,6.70478,2.08782,0.0506511
C26H18N4O9Zn,COD,2014126,700,0.00106316,0.183138,3.65356,0.00380662
Gd10OS14,ICSD,409047,300,0.000993238,0.201775,2.25389,0.00277295
CrS3Sm,COD,1521398,400,0.000169228,266.439,2.08673,0.0073289
GdSn2,ICSD,636457,1000,2.72229e-05,0.0645875,1.70376,0.813847
C50H40CuN6O5,COD,2202250,1000,0.00104771,0.18727,3.33564,0.0109579
C20H17P,COD,7106926,300,0.00217475,0.00248304,4.61127,0.00345745
C13H14BNO,COD,2200738,700,0.00149635,1.25655,3.78077,0.00381041
C12H7S,COD,7200488,1000,0.00101549,0.00532286,3.28231,0.0235294
C5H12N8O8,COD,7105119,700,0.00162349,1.50148,3.75196,0.00939345
MgSe2,ICSD,642815,400,2.38491e-05,10.8058,1.25346,0.0578465
CrLuO4,COD,7222222,300,0.000296832,0.071114,3.32471,0.0117466
Er3InS6,ICSD,630700,1000,2.35863e-05,2.20073,2.13903,0.0476585
C22H44Li2N2O3,COD,4302681,400,0.0011265,0.144755,3.98889,0.00026959
MnO6Sr2Zr,ICSD,164699,400,6.75317e-05,0.00617402,2.3061,0.0108097
C6H14I2N2O2Zn,COD,2003017,300,0.00153168,1.77498,4.06445,0.00162528
CoS,COD,9008884,300,5.75204e-05,0.0915205,3.95383,0.00614141
